latitude;longitude;Altitude;caida;Temperature_1;Temperature_2;Barometric_Pressure;pitch;rueda;yaw;Accelerometer_X;Accelerometer_Y;Accelerometer_Z
38.540634;-121.74678;3.1;1;28.605062;28.677401;1010.060249;1.6376;0.3588;-1.0856;0.0468;0.0351;-0.9945
38.540638;-121.74678;1.9;0;28.629052;28.677401;1010.130331;1.6284;0.3496;-1.058;0.0585;0.0351;-0.9789
38.540638;-121.746788;1.5;0;28.629052;28.677401;1010.055739;1.6376;0.3588;-1.0672;0.0546;0.0351;-0.9945
38.540638;-121.74678;1.5;0;28.635049;28.677401;1010.097937;1.6836;0.3772;-1.0488;0.0273;0.0234;-0.9945
38.540638;-121.74678;1.4;0;28.641046;28.69754;1010.088144;1.6284;0.368;-1.0856;0.039;0.0117;-0.9711
38.540638;-121.74678;1.4;1;28.641046;28.69754;1010.05424;1.656;0.368;-1.058;0.0468;0.0156;-1.0257
38.540642;-121.74678;1.5;1;28.653039;28.69754;1010.039171;1.6284;0.3404;-1.0948;0.0312;0.0195;-0.9828
38.540638;-121.74678;1.2;1;28.653039;28.707609;1010.094924;1.6652;0.3312;-1.0764;0.0585;0.0195;-1.0023
38.54063;-121.74678;-0.2;0;28.653039;28.71768;1010.057252;1.6836;0.3496;-1.0672;0.039;0.0351;-0.9867
38.54063;-121.74678;-0.8;1;28.659035;28.73782;1010.086631;1.6652;0.3036;-1.1132;0.0507;0.0234;-0.9945
38.54063;-121.74678;-1.4;0;28.671027;28.73782;1010.073065;1.6284;0.3404;-1.0948;0.0507;0.0312;-0.9906
38.54063;-121.74678;-1.8;0;28.671027;28.73782;1010.046694;1.6376;0.322;-1.0948;0.0507;0.0312;-0.9828
38.54063;-121.74678;-2.4;0;28.671027;28.73782;1010.051963;1.6008;0.3036;-1.104;0.0312;0.0351;-0.9945
38.54063;-121.74678;-2.9;0;28.689013;28.73782;1010.111476;1.6744;0.3404;-1.0764;0.0429;0.0195;-0.9828
38.5406;-121.746643;0;0;29.299546;29.452789;1010.071279;1.3708;-0.184;-0.9752;0.0351;0.0624;-1.0062
38.54063;-121.746643;1.5;1;29.311498;29.46286;1010.066548;1.4076;-0.1564;-0.9936;0.0273;0.0897;-0.9711
38.54063;-121.746635;0.9;0;29.32345;29.472931;1010.069357;1.38;-0.1748;-1.0396;0.0468;0.1014;-1.014
38.540627;-121.746643;-0.1;0;29.329425;29.493071;1010.082079;1.3708;-0.1472;-1.0028;0.039;0.0819;-0.9672
